row,lon,lat,lon2,lat2,dist_m
1,-98.2972,19.3964,-98.29148,19.38365,1539.5
2,-98.2989,19.3969,-98.29148,19.38365,1666.3
3,-98.2994,19.3972,-98.29148,19.38365,1720.5
4,-98.2972,19.395,-98.29148,19.38365,1397.4
5,-98.2975,19.395,-98.29148,19.38365,1411.2
6,-98.2786,19.3658,-98.28709,19.35283,1695.1
7,-98.2786,19.3661,-98.28709,19.35283,1723.5
8,-98.2786,19.3664,-98.28709,19.35283,1752.2
9,-98.2786,19.3656,-98.28709,19.35283,1676.2
10,-98.2786,19.3656,-98.28709,19.35283,1676.2
11,-98.2078,19.2939,-98.20827,19.29439,73.5
12,-98.2078,19.2939,-98.20827,19.29439,73.5
13,-98.2078,19.2939,-98.20827,19.29439,73.5
14,-98.2078,19.2939,-98.20827,19.29439,73.5
15,-98.2078,19.2939,-98.20827,19.29439,73.5
16,-98.2078,19.2939,-98.20827,19.29439,73.5
17,-98.2078,19.2939,-98.20827,19.29439,73.5
18,-98.2442,19.3019,-98.24428,19.3022,34.4
19,-98.2075,19.4297,-98.21062,19.42366,747.1
20,-98.2158,19.3306,-98.21453,19.32863,256.4
21,-98.2161,19.3303,-98.21453,19.32863,248.2
22,-98.2375,19.0842,-98.23767,19.08431,21.7
23,-98.1133,19.0306,-98.12309,19.03309,1065.7
24,-98.1133,19.0278,-98.12309,19.03309,1185.3
25,-98.2342,19.0944,-98.23439,19.09223,242.1
26,-98.2342,19.0944,-98.23439,19.09223,242.1
27,-98.215,19.3314,-98.21453,19.32863,311.9
28,-98.2411,19.2958,-98.2412,19.2954,45.7
29,-98.2369,19.29,-98.23946,19.2902,269.6
30,-98.1872,19.3308,-98.18566,19.33139,174.4
31,-98.1867,19.33,-98.18566,19.33139,189.2
32,-98.1864,19.3294,-98.18566,19.33139,234.5
33,-98.2467,19.3225,-98.24669,19.32151,110.1
34,-98.2447,19.3219,-98.24669,19.32151,213.3
35,-98.2631,19.3975,-98.27219,19.38359,1817.0
36,-98.255,19.3897,-98.27219,19.38359,1926.8
37,-99.1206,19.3597,-99.1206,19.3597,0.0
38,-99.1714,19.3539,-99.169,19.35281,279.4
39,-99.1714,19.3539,-99.169,19.35281,279.4
40,-99.1714,19.3539,-99.169,19.35281,279.4
41,-99.1717,19.3553,-99.17097,19.3567,173.5
42,-99.1717,19.3553,-99.17097,19.3567,173.5
43,-99.1717,19.3525,-99.172,19.35117,151.2
44,-99.1719,19.3533,-99.172,19.35117,237.1
45,-99.1728,19.3539,-99.172,19.35117,315.0
46,-99.1753,19.3528,-99.17613,19.35336,107.1
47,-99.1153,19.3622,-99.1153,19.3622,0.0
48,-99.1936,19.3206,-99.19369,19.32066,11.6
49,-99.1936,19.3206,-99.19369,19.32066,11.6
50,-99.1928,19.3231,-99.19287,19.32338,32.0
51,-99.1928,19.3231,-99.19287,19.32338,32.0
52,-99.1936,19.3206,-99.19369,19.32066,11.6
53,-99.0947,19.3431,-99.09577,19.34051,309.1
54,-99.0947,19.3431,-99.09577,19.34051,309.1
55,-99.0947,19.3431,-99.09577,19.34051,309.1
56,-99.0947,19.3431,-99.09577,19.34051,309.1
57,-98.2069,19.2719,-98.1978,19.26945,993.3
58,-98.2069,19.2719,-98.1978,19.26945,993.3
