Sample ID;Frequency
NX.VH01519_206.001.N715---S508.87;134281.00
NX.VH01519_206.001.N707---S511.112;127262.00
NX.VH01519_206.001.N706---S511.111;95476.00
NX.VH01519_206.001.N719---S508.90;95061.00
NX.VH01519_206.001.N702---S511.107;90614.00
NX.VH01519_206.001.N704---S511.109;70710.00
NX.VH01519_206.001.N701---S506.46;69657.00
NX.VH01519_206.001.N703---S506.48;69330.00
NX.VH01519_206.001.N716---S508.88;60674.00
NX.VH01519_206.001.N703---S510.93;58425.00
NX.VH01519_206.001.N702---S510.92;58244.00
NX.VH01519_206.001.N705---S505.35;58095.00
NX.VH01519_206.001.N710---S511.113;56969.00
NX.VH01519_206.001.N718---S506.59;55520.00
NX.VH01519_206.001.N714---S505.41;51724.00
NX.VH01519_206.001.N704---S505.34;50219.00
NX.VH01519_206.001.N701---S505.31;49485.00
NX.VH01519_206.001.N707---S510.97;47595.00
NX.VH01519_206.001.N716---S510.103;47483.00
NX.VH01519_206.001.N719---S506.60;46413.00
NX.VH01519_206.001.N701---S510.91;44314.00
NX.VH01519_206.001.N704---S506.49;42300.00
NX.VH01519_206.001.N718---S510.104;42288.00
NX.VH01519_206.001.N712---S506.55;41633.00
NX.VH01519_206.001.N705---S510.95;39971.00
NX.VH01519_206.001.N706---S510.96;37836.00
NX.VH01519_206.001.N702---S506.47;36874.00
NX.VH01519_206.001.N711---S505.39;36830.00
NX.VH01519_206.001.N705---S506.50;34898.00
NX.VH01519_206.001.N704---S510.94;34420.00
NX.VH01519_206.001.N712---S511.115;33781.00
NX.VH01519_206.001.N701---S511.106;31740.00
NX.VH01519_206.001.N712---S505.40;30924.00
NX.VH01519_206.001.N714---S510.101;30843.00
NX.VH01519_206.001.N710---S510.98;30056.00
NX.VH01519_206.001.N714---S511.116;29675.00
NX.VH01519_206.001.N715---S505.42;29123.00
NX.VH01519_206.001.N715---S511.117;27197.00
NX.VH01519_206.001.N716---S506.58;26317.00
NX.VH01519_206.001.N716---S511.118;25218.00
NX.VH01519_206.001.N718---S508.89;23865.00
NX.VH01519_206.001.N703---S505.33;21979.00
NX.VH01519_206.001.N707---S505.37;20915.00
NX.VH01519_206.001.N706---S505.36;20881.00
NX.VH01519_206.001.N712---S510.100;20609.00
NX.VH01519_206.001.N715---S506.57;20567.00
NX.VH01519_206.001.N714---S506.56;18859.00
NX.VH01519_206.001.N711---S510.99;18431.00
NX.VH01519_206.001.N718---S511.119;18087.00
NX.VH01519_206.001.N715---S510.102;16544.00
NX.VH01519_206.001.N711---S511.114;12878.00
NX.VH01519_206.001.N719---S511.120;5870.00
NX.VH01519_206.001.N710---S505.38;91.00
NX.VH01519_206.001.N702---S505.32;15.00
